sample_id,dataset,label,func_name,strategy,total_lines,suspicious_lines,task1_score,task2_score,task3_score,task4_score,V_score,mtd_verdict,T_score,alc_decision,trust_level,diagnosis_run,error_source,outlier_task,dominant_cwe,conflict_pattern,repair_run,patch_generated,repair_cwe,repair_error_source
0,bigvul,0,switch,heuristic,21,0,0.0,0.9977,0.0286,0.1322,0.0085,NON_VULNERABLE,0.6885,untrustworthy,LOW,YES,NOISY_STRATEGY,task2,CWE-484,SINGLE_HIGH_OUTLIER,YES,True,CWE-484,NOISY_STRATEGY
1,bigvul,0,acm_set_control,heuristic,8,0,0.0,0.9502,0.0,0.475,0.0178,NON_VULNERABLE,0.7511,trustworthy,MODERATE,NO,,,,,NO,,,
2,bigvul,0,unknown_2,heuristic,20,0,0.0,0.9392,0.0,0.15,0.0161,NON_VULNERABLE,0.7067,trustworthy,MODERATE,NO,,,,,NO,,,
3,bigvul,0,unknown_3,heuristic,4,0,0.0,0.8647,0.0,0.075,0.006,NON_VULNERABLE,0.727,trustworthy,MODERATE,NO,,,,,NO,,,
4,bigvul,0,yurex_open,heuristic,34,0,0.0,0.9248,0.0,0.397,0.016,NON_VULNERABLE,0.7152,trustworthy,MODERATE,NO,,,,,NO,,,
5,bigvul,0,if,heuristic,10,1,0.615,0.9918,0.0,0.475,0.0205,NON_VULNERABLE,0.7348,trustworthy,MODERATE,NO,,,,,NO,,,
6,bigvul,0,DragEnd,heuristic,4,0,0.0,0.8647,0.0,0.075,0.0064,NON_VULNERABLE,0.727,trustworthy,MODERATE,NO,,,,,NO,,,
7,bigvul,0,unknown_7,heuristic,24,0,0.0,0.8111,0.0,0.15,0.018,NON_VULNERABLE,0.7502,trustworthy,MODERATE,NO,,,,,NO,,,
8,bigvul,0,cma_rep_recv,heuristic,23,0,0.0,0.9691,0.0,0.2315,0.0166,NON_VULNERABLE,0.7003,trustworthy,MODERATE,NO,,,,,NO,,,
9,bigvul,0,unknown_9,heuristic,7,0,0.0,0.6811,0.0,0.075,0.0091,NON_VULNERABLE,0.84,trustworthy,HIGH,NO,,,,,NO,,,
